1A,Sovereign Military Order of Malta
XD,Mexico
XE,Mexico
XF,Mexico
XF0,Revilla Gigedo
XF4,Revilla Gigedo
XG,Mexico
XH,Mexico
XJ,Canada
XK,Canada
XL,Canada
XM,Canada
XN,Canada
XO,Canada
XP,Denmark
XQ,Chile
XQ0X,San Felix
XQ0Y,Easter Island
XQ0Z,Juan Fernandez
XR,Chile
XR0Y,Easter Island
XR0Z,Easter Island
XS,China
XT,Burkina Faso
XU,Kampuchea
XV,Vietnam
XW,Laos
XX,Macao
XY,Burma
XZ,Burma
Y2,Germany
Y3,Germany
Y4,Germany
Y5,Germany
Y6,Germany
Y7,Germany
Y8,Germany
Y9,Germany
Y90,Antarctica
YA,Afghanistan
YB,Indonesia
YC,Indonesia
YD,Indonesia
YE,Indonesia
YF,Indonesia
YG,Indonesia
YH,Indonesia
YI,Iraq
YJ,Vanuatu
YK,Syria
YL,Latvia
YM,Turkey
YN,Nicaragua
YO,Romania
YP,Romania
YQ,Romania
YR,Romania
YS,El Salvador
YT,Yugoslavia
YT1,Yugoslavia
YT4,Bosnia Herzegovina
YT5,Macedonia
YT6,Yugoslavia
YT7,Yugoslavia
YT8,Yugoslavia
YU,Yugoslavia
YU1,Yugoslavia
YU4,Bosnia Herzegovina
YU5,Macedonia
YU6,Yugoslavia
YU7,Yugoslavia
YU8,Yugoslavia
YV,Venezuela
YV0,Aves Is
YW,Venezuela
YX,Venezuela
YX0,Aves Is
YY,Venezuela
YZ,Yugoslavia
YZ4,Bosnia Herzegovina
YZ5,Macedonia
Z2,Zimbabwe
Z3,Macedonia
ZA,Albania
ZB,Gibraltar
ZC4,UK Soverign Base
ZD7,St Helena
ZD8,Ascension Is
ZD9,Tristan Da Cunha
ZE,Zimbabwe
ZF,Cayman Is
ZK1/N,No Cook Is
ZK1/S,So Cook Is
ZK2,Niue Is
ZK3,Tokelaus
ZL,New Zealand
ZL0,Antarctica Scott
ZL5,Antarctica Scott
ZL7,Chatham Is
ZL8,Kermadec Is
ZL9,Auckland Campbell 
ZM,New Zealand
ZM7,Chatham Is
ZM8,Kermadec Is
ZM9,Auckland Campbell
ZP,Paraguay
ZS,So Africa
ZS2,Marion Is
ZS3,Namibia
ZS8,Marion Is
ZS9,Walvis Bay
ZU,So Africa
ZV,Brazil
ZW,Brazil
ZX,Brazil
ZX0F,Fer De Noronha
ZX0S,Peter Paul Rocks
ZX0T,Trindade
ZY,Brazil
ZY0F,Fer De Noronha
ZY0S,Peter Paul Rocks
ZY0T,Trindade
ZZ,Brazil
ZZ0F,Fer De Noronha
ZZ0S,Peter Paul Rocks
ZZ0T,Trindade
